fold,best_val_acc,final_train_acc,final_val_acc,final_train_loss,final_val_loss
1,0.9221813725490197,0.8690429484776858,0.8547794117647058,0.32384148568420085,0.37836674498576744
2,0.8879076086956522,0.8650956284153005,0.7785326086956522,0.32864344584160166,0.6932171313497035
3,0.9652777777777778,0.9383491847826086,0.9451388888888889,0.15632265751280458,0.3799630392756727
4,0.9791666666666666,0.9460382513661202,0.9791666666666666,0.14105361129050373,0.12428882742921511
5,0.9048295454545454,0.9606418918918919,0.875,0.10620249232931717,0.33599258671430027
